row_number,NDVI,Pred_Veg,geometry,latitude,longitude,area,centroid_latitude,centroid_longitude
19,0.698441,Shrubland,"POLYGON Z ((464887.0939999996 7194863.535100002 0, 464887.0939999996 7194858.335099999 0, 464881.8940000003 7194858.335099999 0, 464876.69400000013 7194858.335099999 0, 464876.69400000013 7194863.535100002 0, 464887.0939999996 7194863.535100002 0))",,,54.08000002808869,7194860.9350999985,464881.89399999985
20,0.747769,Shrubland,"POLYGON Z ((464413.8940000003 7194847.9351 0, 464413.8940000003 7194858.335099999 0, 464419.0939999996 7194858.335099999 0, 464424.29399999976 7194853.1351 0, 464424.29399999976 7194847.9351 0, 464413.8940000003 7194847.9351 0))",,,94.63999998014421,7194852.639861904,464418.5987619048
21,0.753709,Shrubland,"POLYGON Z ((464413.8940000003 7194868.735100001 0, 464424.29399999976 7194868.735100001 0, 464429.49399999995 7194853.1351 0, 464434.69400000013 7194853.1351 0, 464434.69400000013 7194842.735100001 0, 464429.49399999995 7194842.735100001 0, 464429.49399999995 7194847.9351 0, 464424.29399999976 7194847.9351 0, 464424.29399999976 7194853.1351 0, 464419.0939999996 7194858.335099999 0, 464413.8940000003 7194858.335099999 0, 464413.8940000003 7194868.735100001 0))",,,243.36000001259146,7194857.372137038,464424.1977037032
22,0.736297,Fen,"POLYGON Z ((464502.29399999976 7194837.535100002 0, 464491.8940000003 7194837.535100002 0, 464491.8940000003 7194832.335099999 0, 464486.69400000013 7194832.335099999 0, 464486.69400000013 7194837.535100002 0, 464481.49399999995 7194837.535100002 0, 464476.29399999976 7194853.1351 0, 464460.69400000013 7194853.1351 0, 464460.69400000013 7194863.535100002 0, 464471.0939999996 7194863.535100002 0, 464497.0939999996 7194842.735100001 0, 464502.29399999976 7194842.735100001 0, 464502.29399999976 7194837.535100002 0))",,,446.16000003438444,7194848.8280292945,464480.75864646357
23,0.748144,Fen,"POLYGON Z ((464595.8940000003 7194842.735100001 0, 464590.69400000013 7194842.735100001 0, 464590.69400000013 7194847.9351 0, 464590.69400000013 7194858.335099999 0, 464601.0939999996 7194858.335099999 0, 464601.0939999996 7194853.1351 0, 464601.0939999996 7194847.9351 0, 464595.8940000003 7194847.9351 0, 464595.8940000003 7194842.735100001 0))",,,135.1999999757856,7194851.575099999,464595.37399999984
24,0.737042,Fen,"POLYGON Z ((464663.49399999995 7194853.1351 0, 464663.49399999995 7194842.735100001 0, 464647.8940000003 7194842.735100001 0, 464647.8940000003 7194853.1351 0, 464632.29399999976 7194853.1351 0, 464632.29399999976 7194858.335099999 0, 464647.8940000003 7194858.335099999 0, 464647.8940000003 7194863.535100002 0, 464653.0939999996 7194863.535100002 0, 464663.49399999995 7194858.335099999 0, 464663.49399999995 7194853.1351 0))",,,378.5599999786913,7194853.073195239,464652.0416190477
25,0.715942,Fen,"POLYGON Z ((464699.8940000003 7194842.735100001 0, 464694.69400000013 7194842.735100001 0, 464679.0939999996 7194832.335099999 0, 464679.0939999996 7194847.9351 0, 464673.8940000003 7194847.9351 0, 464673.8940000003 7194858.335099999 0, 464694.69400000013 7194858.335099999 0, 464705.0939999996 7194858.335099999 0, 464705.0939999996 7194853.1351 0, 464699.8940000003 7194853.1351 0, 464699.8940000003 7194847.9351 0, 464699.8940000003 7194842.735100001 0))",,,486.7199999622256,7194849.235099999,464687.90511111077
26,0.720527,Fen,"POLYGON Z ((464736.29399999976 7194842.735100001 0, 464736.29399999976 7194832.335099999 0, 464731.0939999996 7194832.335099999 0, 464731.0939999996 7194827.1351 0, 464725.8940000003 7194827.1351 0, 464725.8940000003 7194832.335099999 0, 464725.8940000003 7194837.535100002 0, 464720.69400000013 7194837.535100002 0, 464720.69400000013 7194858.335099999 0, 464720.69400000013 7194863.535100002 0, 464725.8940000003 7194863.535100002 0, 464736.29399999976 7194847.9351 0, 464736.29399999976 7194842.735100001 0))",,,405.60000000726427,7194845.508433334,464727.97400000016
27,0.711999,Fen,"POLYGON Z ((464715.49399999995 7194868.735100001 0, 464741.49399999995 7194868.735100001 0, 464741.49399999995 7194853.1351 0, 464741.49399999995 7194842.735100001 0, 464736.29399999976 7194842.735100001 0, 464736.29399999976 7194847.9351 0, 464725.8940000003 7194863.535100002 0, 464720.69400000013 7194863.535100002 0, 464715.49399999995 7194863.535100002 0, 464715.49399999995 7194868.735100001 0))",,,324.4799999917671,7194859.851766667,464733.0440000004
28,0.697686,Evergreen Forest,"POLYGON Z ((464809.0939999996 7194837.535100002 0, 464809.0939999996 7194842.735100001 0, 464809.0939999996 7194853.1351 0, 464814.29399999976 7194853.1351 0, 464814.29399999976 7194858.335099999 0, 464824.69400000013 7194858.335099999 0, 464824.69400000013 7194853.1351 0, 464824.69400000013 7194847.9351 0, 464819.49399999995 7194847.9351 0, 464819.49399999995 7194837.535100002 0, 464809.0939999996 7194837.535100002 0))",,,243.35999997384846,7194848.22398889,464816.31622222194
