Creamers_Calculated_Distance,Farmers 1_Calculated_Distance,Farmers 2_Calculated_Distance,Tunnel_Calculated_Distance,NaN_Values_Calculated_Distance,Creamers_Difference,Farmers 1_Difference,Farmers 2_Difference,Tunnel_Difference,NaN_Values_Difference
3.9149114936738894,4.100537159879859,3.9087041332359775,4.139441145987387,,-4.440892098500626e-16,0.0,,0.0,
4.523982537615317,4.0850543445989205,3.939096850729211,3.9368872222123796,,0.0,-8.881784197001252e-16,,4.440892098500626e-16,
3.844000129648153,4.0056121879465385,4.0322759081789314,4.051577717230984,,0.0,8.881784197001252e-16,,0.0,
3.8627281816254615,3.8951391503128012,4.075237539176633,3.9652648082829964,,-4.440892098500626e-16,-4.440892098500626e-16,,-4.440892098500626e-16,
3.815890197518301,3.9439505576829132,4.168563541457824,3.9816479000930953,,0.0,-4.440892098500626e-16,,-4.440892098500626e-16,
4.144324432256368,4.202001546815116,4.016655947432746,4.0553304428127674,,0.0,0.0,,-8.881784197001252e-16,
3.991758133922011,3.922231125170971,3.9464812175333774,3.8395344769430406,,0.0,0.0,,4.440892098500626e-16,
4.327357276733368,4.072802597702609,3.7898247979405593,4.25286961947502,,0.0,0.0,,0.0,
3.537874643921273,3.911677006133288,4.1178063335460156,3.922985087893172,,0.0,0.0,,0.0,
4.47935910608054,3.933173019329666,3.9761388307282512,4.325531759298686,,0.0,0.0,,0.0,
3.9509463423563713,4.057635025589542,3.962460094333447,3.980304636510754,,-4.440892098500626e-16,0.0,,0.0,
3.8311973325865725,4.108711720330545,8.032436305327666,4.092327455163324,,-4.440892098500626e-16,0.0,,0.0,
3.8092080538785718,3.911626004460831,4.040298256340335,3.8459673685286115,,4.440892098500626e-16,0.0,,4.440892098500626e-16,
4.194220428176149,4.095521944818877,7.998702394852134,4.224541750157018,,0.0,0.0,,0.0,
4.928495307818696,4.032769395866603,4.5105960802704095,4.155806179305397,,0.0,0.0,,0.0,
4.811523875717876,4.125588442857888,4.035003097892243,4.136010154937925,,0.0,0.0,,0.0,
3.953723561396877,3.739674450952694,3.728558166330475,3.8477434945912186,,0.0,0.0,,4.440892098500626e-16,
3.9359396590314684,3.730689212407285,4.1961721842529816,4.135587019964079,,-4.440892098500626e-16,0.0,,0.0,
3.8015786193125036,4.5150420819573975,3.9832963738218172,3.864768298414138,,4.440892098500626e-16,8.881784197001252e-16,,0.0,
4.213524533823225,4.0029420430752,4.176492308058651,4.103474625238915,,0.0,0.0,,0.0,
3.8980396352956324,4.2560117480975075,4.022090998478289,4.102401248133842,,-4.440892098500626e-16,-8.881784197001252e-16,,0.0,
3.9014502440584224,4.262256796464561,3.9141258281970046,27.739487612323188,,-4.440892098500626e-16,0.0,,-23.73048748770077,
3.957231355157189,3.927518427870316,4.085720132518836,3.735096518170931,,0.0,0.0,,0.0,
4.098158732796868,3.9255696402051914,4.044848822833374,4.161710345537306,,0.0,-4.440892098500626e-16,,0.0,
3.9290035635042577,4.255818135057883,3.9828522443018257,4.118367152154056,,4.440892098500626e-16,0.0,,0.0,
4.149819272551658,3.7881533762743826,3.760301317572479,4.010437008597997,,0.0,4.440892098500626e-16,,0.0,
3.982120541042316,3.91755140355292,4.0691135400011404,3.928273539329357,,0.0,0.0,,0.0,
3.886100359137203,4.198160073201857,4.192581304962197,4.112682457979883,,0.0,0.0,,0.0,
4.121435307649762,3.8681990640116735,3.991941006701922,3.968098411056892,,0.0,-4.440892098500626e-16,,0.0,
3.778569703021615,3.844352741381935,3.890768818565119,3.956105408159485,,0.0,0.0,,0.0,
4.279578133301743,4.349561472138393,4.056450295471659,4.9157238529433345,,0.0,0.0,,-8.881784197001252e-16,
3.770199464545153,3.8133718678279265,4.049045443121823,,,0.0,-4.440892098500626e-16,,,
4.040056435267567,4.040463834783137,3.5875398254178434,,,0.0,0.0,,,
4.037504302926516,3.864074533324948,4.575623454751339,,,0.0,0.0,,,
3.9502340438854926,4.187555134130874,3.8655465333344163,,,4.440892098500626e-16,0.0,,,
3.947696543362034,3.976463252558144,4.03744498400359,,,0.0,0.0,,,
3.929458487339869,4.06499212782484,3.9805443097079936,,,0.0,0.0,,,
4.094907080397014,3.9512271513658943,3.7816993534454775,,,0.0,-4.440892098500626e-16,,,
3.8757178693369916,4.097857488970146,4.1867228231338665,,,4.440892098500626e-16,0.0,,,
4.472567606791735,5.161513925128678,4.747848565512304,,,0.0,0.0,,,
4.003808187553955,,5.655237307296992,,,0.0,,,,
4.134676045309088,,4.337619278015947,,,0.0,,,,
3.9124429710873296,,4.0319306787696485,,,4.440892098500626e-16,,,,
4.0673947430645425,,3.940468246385893,,,8.881784197001252e-16,,,,
3.6793722295579796,,3.99668112310506,,,4.440892098500626e-16,,,,
4.179057908186744,,4.064526171445404,,,0.0,,,,
4.1737063861620785,,4.124045829089052,,,-8.881784197001252e-16,,,,
3.9385394496623545,,3.946540763728611,,,-4.440892098500626e-16,,,,
3.609010114278107,,3.9594111936181684,,,0.0,,,,
4.161234912999099,,4.208996673837147,,,0.0,,,,
4.132838491555429,,3.7522911667339023,,,0.0,,,,
3.898441355455227,,3.972211600784848,,,0.0,,,,
4.122879212439171,,3.857784078991817,,,0.0,,,,
4.033166621556561,,4.082952852879424,,,0.0,,,,
3.562185424738189,,3.918703101537575,,,0.0,,,,
4.02715234336926,,4.013056814916829,,,0.0,,,,
4.11467738717689,,4.2114416773919885,,,0.0,,,,
4.133011008941652,,4.0452700775297075,,,0.0,,,,
3.9163279997516973,,3.6729456841403962,,,-4.440892098500626e-16,,,,
4.073930902361722,,4.230234272571484,,,0.0,,,,
3.9395268757920365,,3.9602960746777853,,,4.440892098500626e-16,,,,
3.8635098032309214,,3.883476020288539,,,-4.440892098500626e-16,,,,
4.269684999824049,,4.076623357702923,,,0.0,,,,
4.042746219956989,,3.9990001251180742,,,0.0,,,,
4.453246007115318,,4.015181689373338,,,0.0,,,,
